date,site_name,total_generation_mw,predicted_total_generation_mw,daily_revenue_inr,revenue_at_risk_inr,co2_avoided_tons,coal_saved_tons,trees_equivalent_million,overall_risk_level,risk_alert,active_high_risk_factors,ai_insight
2021-07-12,Khavda Renewable Energy Park,49.28290045694656,0.0,221773.05,11088.65,0.0,0.0,0.0,LOW,NONE,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-07-13,Khavda Renewable Energy Park,57.604338578531326,0.0,259219.52,12960.98,0.0,0.0,0.0,LOW,NONE,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-07-14,Khavda Renewable Energy Park,96.3610937731847,0.0,433624.92,21681.25,8.06,4.92,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-07-15,Khavda Renewable Energy Park,79.93045711496559,0.0,359687.06,17984.35,4.58,2.79,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-07-16,Khavda Renewable Energy Park,87.42066542637853,0.0,393392.99,19669.65,6.95,4.24,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-07-17,Khavda Renewable Energy Park,86.66705115633478,0.0,390001.73,19500.09,5.25,3.2,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-07-18,Khavda Renewable Energy Park,88.35180536944759,0.0,397583.12,19879.16,16.92,10.31,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-07-19,Khavda Renewable Energy Park,87.25547009527101,0.0,392649.62,19632.48,37.67,22.97,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-07-20,Khavda Renewable Energy Park,117.29140545133518,0.0,527811.32,26390.57,63.5,38.72,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-07-21,Khavda Renewable Energy Park,153.16330385365683,0.0,689234.87,34461.74,115.26,70.28,0.01,MEDIUM,NORMAL_OPERATIONS,NORMAL,Moderate weather patterns observed. Monitor generation closely.
2021-07-22,Khavda Renewable Energy Park,72.08698920442976,0.0,324391.45,16219.57,11.32,6.9,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-07-23,Khavda Renewable Energy Park,72.54205179150011,0.0,326439.23,16321.96,10.03,6.11,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-07-24,Khavda Renewable Energy Park,31.466439324708148,0.0,141598.98,7079.95,4.64,2.83,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-07-25,Khavda Renewable Energy Park,67.08158947144081,0.0,301867.15,15093.36,10.53,6.42,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-07-26,Khavda Renewable Energy Park,85.39701132490356,0.0,384286.55,19214.33,34.95,21.31,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-07-27,Khavda Renewable Energy Park,90.57288294612913,0.0,407577.97,20378.9,47.33,28.86,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-07-28,Khavda Renewable Energy Park,102.47857500132648,0.0,461153.59,23057.68,63.3,38.6,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-07-29,Khavda Renewable Energy Park,122.48539600116834,0.0,551184.28,27559.21,68.25,41.62,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-07-30,Khavda Renewable Energy Park,118.96962397752338,0.0,535363.31,26768.17,52.87,32.24,0.0,MEDIUM,NORMAL_OPERATIONS,NORMAL,Moderate weather patterns observed. Monitor generation closely.
2021-07-31,Khavda Renewable Energy Park,126.21365848896396,0.0,567961.46,28398.07,67.92,41.42,0.0,MEDIUM,NORMAL_OPERATIONS,NORMAL,Moderate weather patterns observed. Monitor generation closely.
2021-08-01,Khavda Renewable Energy Park,107.43570371415817,0.0,483460.67,24173.03,52.92,32.27,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-08-02,Khavda Renewable Energy Park,67.28474218573534,0.0,302781.34,15139.07,26.11,15.92,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-08-03,Khavda Renewable Energy Park,63.37820357583213,0.0,285201.92,14260.1,14.8,9.03,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-08-04,Khavda Renewable Energy Park,73.61522578453307,0.0,331268.52,16563.43,14.58,8.89,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-08-05,Khavda Renewable Energy Park,106.22054083526334,0.0,477992.43,4779.92,16.78,10.23,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-08-06,Khavda Renewable Energy Park,68.88149270429489,0.0,309966.72,15498.34,4.65,2.84,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-08-07,Khavda Renewable Energy Park,94.78467384800123,0.0,426531.03,4265.31,13.03,7.94,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-08-08,Khavda Renewable Energy Park,108.82545442015854,0.0,489714.54,4897.15,35.14,21.43,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-08-09,Khavda Renewable Energy Park,84.85355312431632,0.0,381840.99,3818.41,16.11,9.82,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-08-10,Khavda Renewable Energy Park,106.21728155358198,0.0,477977.77,4779.78,39.17,23.88,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-08-11,Khavda Renewable Energy Park,88.78600909962951,0.0,399537.04,3995.37,18.1,11.03,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-08-12,Khavda Renewable Energy Park,74.85693455239654,0.0,336856.21,16842.81,7.68,4.68,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-08-13,Khavda Renewable Energy Park,90.89514525518518,0.0,409028.15,4090.28,15.76,9.61,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-08-14,Khavda Renewable Energy Park,128.37363004378173,0.0,577681.34,5776.81,46.82,28.55,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-08-15,Khavda Renewable Energy Park,135.30672964692675,0.0,608880.28,6088.8,37.89,23.11,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-08-16,Khavda Renewable Energy Park,105.63723898168269,0.0,475367.58,4753.68,35.37,21.57,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-08-17,Khavda Renewable Energy Park,125.11944617899135,0.0,563037.51,5630.38,32.02,19.52,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-08-18,Khavda Renewable Energy Park,122.13668382381404,0.0,549615.08,5496.15,31.36,19.12,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-08-19,Khavda Renewable Energy Park,141.59443200275012,0.0,637174.94,6371.75,41.3,25.18,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-08-20,Khavda Renewable Energy Park,132.9697060367928,0.0,598363.68,5983.64,37.51,22.87,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-08-21,Khavda Renewable Energy Park,74.96019559838174,0.0,337320.88,16866.04,4.22,2.57,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-08-22,Khavda Renewable Energy Park,54.721462631516005,0.0,246246.58,12312.33,2.86,1.74,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-08-23,Khavda Renewable Energy Park,119.59795642322108,0.0,538190.8,5381.91,38.72,23.61,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-08-24,Khavda Renewable Energy Park,121.7736391985147,0.0,547981.38,5479.81,33.65,20.52,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-08-25,Khavda Renewable Energy Park,104.8898227038157,0.0,472004.2,4720.04,31.81,19.4,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-08-26,Khavda Renewable Energy Park,96.9306415753417,0.0,436187.89,21809.39,25.97,15.84,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-08-27,Khavda Renewable Energy Park,109.15241766277428,0.0,491185.88,4911.86,20.56,12.54,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-08-28,Khavda Renewable Energy Park,116.6600638615601,0.0,524970.29,5249.7,45.69,27.86,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-08-29,Khavda Renewable Energy Park,95.559001401989,0.0,430015.51,4300.16,25.99,15.85,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-08-30,Khavda Renewable Energy Park,64.93910307623199,0.0,292225.96,14611.3,5.76,3.51,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-08-31,Khavda Renewable Energy Park,56.177775573488205,0.0,252799.99,12640.0,0.99,0.6,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-09-01,Khavda Renewable Energy Park,40.97822709792278,0.0,184402.02,9220.1,0.02,0.01,0.0,MEDIUM,WEATHER_WARNING,CLOUD_CURTAILMENT|HEAVY_RAIN,Cloud cover and rainfall may reduce solar generation.
2021-09-02,Khavda Renewable Energy Park,42.244317849558,0.0,190099.43,9504.97,0.11,0.07,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-09-03,Khavda Renewable Energy Park,68.04912751939499,0.0,306221.07,3062.21,6.81,4.15,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-09-04,Khavda Renewable Energy Park,62.195763842371456,0.0,279880.94,2798.81,9.25,5.64,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-09-05,Khavda Renewable Energy Park,61.21441267041426,0.0,275464.86,2754.65,6.73,4.1,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-09-06,Khavda Renewable Energy Park,70.90831900266402,0.0,319087.44,15954.37,4.88,2.98,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-09-07,Khavda Renewable Energy Park,78.71951051639797,0.0,354237.8,17711.89,4.09,2.5,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-09-08,Khavda Renewable Energy Park,54.341692963778,0.0,244537.62,12226.88,0.07,0.04,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-09-09,Khavda Renewable Energy Park,34.46237374624764,0.0,155080.68,7754.03,0.12,0.07,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-09-10,Khavda Renewable Energy Park,50.88602976206744,0.0,228987.13,11449.36,1.98,1.2,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-09-11,Khavda Renewable Energy Park,39.89823047984975,0.0,179542.04,8977.1,0.19,0.12,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-09-12,Khavda Renewable Energy Park,59.01463416113426,0.0,265565.85,13278.29,1.62,0.98,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-09-13,Khavda Renewable Energy Park,53.07425647952255,0.0,238834.15,11941.71,0.36,0.22,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-09-14,Khavda Renewable Energy Park,60.369384682838,0.0,271662.23,13583.11,2.38,1.45,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-09-15,Khavda Renewable Energy Park,84.245480731104,0.0,379104.66,18955.23,8.16,4.97,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-09-16,Khavda Renewable Energy Park,129.69793141225887,0.0,583640.69,5836.41,47.2,28.78,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-09-17,Khavda Renewable Energy Park,127.81973596082176,0.0,575188.81,5751.89,54.11,33.0,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-09-18,Khavda Renewable Energy Park,64.76295390236817,0.0,291433.29,14571.66,1.32,0.81,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-09-19,Khavda Renewable Energy Park,77.1868983848947,0.0,347341.04,17367.05,8.49,5.18,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-09-20,Khavda Renewable Energy Park,108.2917412293324,0.0,487312.84,4873.13,30.31,18.48,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-09-21,Khavda Renewable Energy Park,102.26764229074232,0.0,460204.39,4602.04,22.78,13.89,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-09-22,Khavda Renewable Energy Park,76.15956623835656,0.0,342718.05,3427.18,17.55,10.7,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-09-23,Khavda Renewable Energy Park,42.245446295245806,0.0,190104.51,9505.23,0.82,0.5,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-09-24,Khavda Renewable Energy Park,59.56181598813601,0.0,268028.17,13401.41,1.46,0.89,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-09-25,Khavda Renewable Energy Park,80.842883539132,0.0,363792.98,3637.93,7.38,4.5,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-09-26,Khavda Renewable Energy Park,104.0248991471976,0.0,468112.05,4681.12,15.84,9.66,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-09-27,Khavda Renewable Energy Park,69.25223333258016,0.0,311635.05,15581.75,1.83,1.12,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-09-28,Khavda Renewable Energy Park,81.27559507267199,0.0,365740.18,18287.01,16.24,9.9,0.0,MEDIUM,NORMAL_OPERATIONS,HEAVY_RAIN,Cloud cover and rainfall may reduce solar generation.
2021-09-29,Khavda Renewable Energy Park,57.47719603433847,0.0,258647.38,12932.37,0.68,0.41,0.0,MEDIUM,NORMAL_OPERATIONS,CLOUD_CURTAILMENT,Cloud cover and rainfall may reduce solar generation.
2021-09-30,Khavda Renewable Energy Park,26.9845767870112,0.0,121430.6,6071.53,6.44,3.92,0.0,MEDIUM,WEATHER_WARNING,CLOUD_CURTAILMENT|HEAVY_RAIN,Cloud cover and rainfall may reduce solar generation.
2021-10-01,Khavda Renewable Energy Park,108.26501815720331,0.0,487192.58,4871.93,16.42,10.01,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-10-02,Khavda Renewable Energy Park,137.1191895996497,0.0,617036.35,6170.36,20.21,12.33,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-10-03,Khavda Renewable Energy Park,145.01841416970186,0.0,652582.86,6525.83,70.36,42.9,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-10-04,Khavda Renewable Energy Park,155.09541564129304,0.0,697929.37,6979.29,25.54,15.57,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-10-05,Khavda Renewable Energy Park,152.71097389880816,0.0,687199.38,6871.99,62.93,38.37,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-10-06,Khavda Renewable Energy Park,130.8843799813176,0.0,588979.71,5889.8,20.57,12.54,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-10-07,Khavda Renewable Energy Park,105.03088636637524,0.0,472638.99,4726.39,34.85,21.25,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-10-08,Khavda Renewable Energy Park,93.5520868192152,0.0,420984.39,4209.84,18.04,11.0,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-10-09,Khavda Renewable Energy Park,107.15005461387624,0.0,482175.25,4821.75,28.69,17.49,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-10-10,Khavda Renewable Energy Park,144.55185044018052,0.0,650483.33,6504.83,107.92,65.81,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-10-11,Khavda Renewable Energy Park,152.64285940547802,0.0,686892.87,6868.93,56.78,34.62,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-10-12,Khavda Renewable Energy Park,148.85876373931418,0.0,669864.44,6698.64,85.09,51.89,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-10-13,Khavda Renewable Energy Park,154.00091442021,0.0,693004.11,6930.04,89.61,54.64,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-10-14,Khavda Renewable Energy Park,155.99354584000002,0.0,701970.96,7019.71,89.0,54.27,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-10-15,Khavda Renewable Energy Park,150.76151134044002,0.0,678426.8,6784.27,104.99,64.02,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-10-16,Khavda Renewable Energy Park,155.40357048788,0.0,699316.07,6993.16,107.02,65.26,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-10-17,Khavda Renewable Energy Park,149.7425315079422,0.0,673841.39,6738.41,79.06,48.21,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-10-18,Khavda Renewable Energy Park,156.74714395500683,0.0,705362.15,7053.62,35.24,21.49,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-10-19,Khavda Renewable Energy Park,149.93297195632482,0.0,674698.37,6746.98,48.44,29.54,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-10-20,Khavda Renewable Energy Park,141.66414668564576,0.0,637488.66,6374.89,57.41,35.01,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-10-21,Khavda Renewable Energy Park,145.76913609587157,0.0,655961.11,6559.61,62.98,38.4,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-10-22,Khavda Renewable Energy Park,139.04711792562415,0.0,625712.03,6257.12,36.04,21.98,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-10-23,Khavda Renewable Energy Park,117.93678217961616,0.0,530715.52,5307.16,92.32,56.29,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-10-24,Khavda Renewable Energy Park,121.26465143568733,0.0,545690.93,5456.91,88.03,53.68,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-10-25,Khavda Renewable Energy Park,124.12532158884,0.0,558563.95,5585.64,65.88,40.17,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-10-26,Khavda Renewable Energy Park,137.64478774217602,0.0,619401.54,6194.02,79.64,48.56,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-10-27,Khavda Renewable Energy Park,136.7535802140816,0.0,615391.11,6153.91,64.51,39.34,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-10-28,Khavda Renewable Energy Park,138.2595646728912,0.0,622168.04,6221.68,47.74,29.11,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-10-29,Khavda Renewable Energy Park,131.20429901779198,0.0,590419.35,5904.19,65.35,39.85,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-10-30,Khavda Renewable Energy Park,143.1633562775064,0.0,644235.1,6442.35,76.08,46.39,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
2021-10-31,Khavda Renewable Energy Park,141.4368331971408,0.0,636465.75,6364.66,38.36,23.39,0.0,LOW,NORMAL_OPERATIONS,NORMAL,Favorable weather conditions. Revenue outlook remains favorable.
