date,site_name,solar_generation_mw,renewable_energy_mwh,co2_avoided_kg,coal_saved_kg,trees_equivalent,co2_avoided_tons,coal_saved_tons,trees_equivalent_million
2020-01-22,Khavda Renewable Energy Park,10133.391777822048,58773.67,48194409.4,29386835.0,2190654.97,48194.41,29386.84,2.19
2020-01-23,Khavda Renewable Energy Park,8016.003333892322,46492.82,38124112.4,23246410.0,1732914.2,38124.11,23246.41,1.73
2020-01-24,Khavda Renewable Energy Park,10150.140974119264,58870.82,48274072.4,29435410.0,2194276.02,48274.07,29435.41,2.19
2020-01-25,Khavda Renewable Energy Park,9790.79987589011,56786.64,46565044.8,28393320.0,2116592.95,46565.04,28393.32,2.12
2020-01-26,Khavda Renewable Energy Park,9881.002959980491,57309.82,46994052.4,28654910.0,2136093.29,46994.05,28654.91,2.14
2020-01-27,Khavda Renewable Energy Park,8584.342401548907,49789.19,40827135.8,24894595.0,1855778.9,40827.14,24894.6,1.86
2020-01-28,Khavda Renewable Energy Park,10411.383217862089,60386.02,49516536.4,30193010.0,2250751.65,49516.54,30193.01,2.25
2020-01-29,Khavda Renewable Energy Park,10850.22738087764,62931.32,51603682.4,31465660.0,2345621.93,51603.68,31465.66,2.35
2020-01-30,Khavda Renewable Energy Park,10677.483297366663,61929.4,50782108.0,30964700.0,2308277.64,50782.11,30964.7,2.31
2020-01-31,Khavda Renewable Energy Park,11978.229974507143,69473.73,56968458.6,34736865.0,2589475.39,56968.46,34736.86,2.59
2020-02-01,Khavda Renewable Energy Park,10996.30132531675,63778.55,52298411.0,31889275.0,2377200.5,52298.41,31889.28,2.38
2020-02-02,Khavda Renewable Energy Park,9839.20799950198,57067.41,46795276.2,28533705.0,2127058.01,46795.28,28533.7,2.13
2020-02-03,Khavda Renewable Energy Park,10126.236078748016,58732.17,48160379.4,29366085.0,2189108.15,48160.38,29366.08,2.19
2020-02-04,Khavda Renewable Energy Park,9656.97312002051,56010.44,45928560.8,28005220.0,2087661.85,45928.56,28005.22,2.09
2020-02-05,Khavda Renewable Energy Park,10896.801173348693,63201.45,51825189.0,31600725.0,2355690.41,51825.19,31600.72,2.36
2020-02-06,Khavda Renewable Energy Park,11404.211530480648,66144.43,54238432.6,33072215.0,2465383.3,54238.43,33072.21,2.47
2020-02-07,Khavda Renewable Energy Park,11008.693193145924,63850.42,52357344.4,31925210.0,2379879.29,52357.34,31925.21,2.38
2020-02-08,Khavda Renewable Energy Park,11459.176406046498,66463.22,54499840.4,33231610.0,2477265.47,54499.84,33231.61,2.48
2020-02-09,Khavda Renewable Energy Park,11251.403747965947,65258.14,53511674.8,32629070.0,2432348.85,53511.67,32629.07,2.43
2020-02-10,Khavda Renewable Energy Park,11677.070225944044,67727.01,55536148.2,33863505.0,2524370.37,55536.15,33863.5,2.52
2020-02-11,Khavda Renewable Energy Park,7410.406536071206,42980.36,35243895.2,21490180.0,1601995.24,35243.9,21490.18,1.6
2020-02-12,Khavda Renewable Energy Park,5467.517398440641,31711.6,26003512.0,15855800.0,1181977.82,26003.51,15855.8,1.18
2020-02-13,Khavda Renewable Energy Park,7518.3840945113725,43606.63,35757436.6,21803315.0,1625338.03,35757.44,21803.32,1.63
2020-02-14,Khavda Renewable Energy Park,5848.796404898227,33923.02,27816876.4,16961510.0,1264403.47,27816.88,16961.51,1.26
2020-02-15,Khavda Renewable Energy Park,11183.789960095568,64865.98,53190103.6,32432990.0,2417731.98,53190.1,32432.99,2.42
2020-02-16,Khavda Renewable Energy Park,12102.975580291168,70197.26,57561753.2,35098630.0,2616443.33,57561.75,35098.63,2.62
2020-02-17,Khavda Renewable Energy Park,11053.670271547708,64111.29,52571257.8,32055645.0,2389602.63,52571.26,32055.64,2.39
2020-02-18,Khavda Renewable Energy Park,1674.2564359865971,9710.69,7962765.8,4855345.0,361943.9,7962.77,4855.34,0.36
2020-02-19,Khavda Renewable Energy Park,6007.858770958295,34845.58,28573375.6,17422790.0,1298789.8,28573.38,17422.79,1.3
2020-02-20,Khavda Renewable Energy Park,12407.323362786929,71962.48,59009233.6,35981240.0,2682237.89,59009.23,35981.24,2.68
2020-02-21,Khavda Renewable Energy Park,7264.217922978262,42132.46,34548617.2,21066230.0,1570391.69,34548.62,21066.23,1.57
2020-02-22,Khavda Renewable Energy Park,11619.9011550303,67395.43,55264252.6,33697715.0,2512011.48,55264.25,33697.71,2.51
2020-02-23,Khavda Renewable Energy Park,11444.29208018102,66376.89,54429049.8,33188445.0,2474047.72,54429.05,33188.44,2.47
2020-02-24,Khavda Renewable Energy Park,11800.82829790622,68444.8,56124736.0,34222400.0,2551124.36,56124.74,34222.4,2.55
2020-02-25,Khavda Renewable Energy Park,8363.816393626103,48510.14,39778314.8,24255070.0,1808105.22,39778.31,24255.07,1.81
2020-02-26,Khavda Renewable Energy Park,8744.686338214551,50719.18,41589727.6,25359590.0,1890442.16,41589.73,25359.59,1.89
2020-02-27,Khavda Renewable Energy Park,12171.232043186674,70593.15,57886383.0,35296575.0,2631199.23,57886.38,35296.57,2.63
2020-02-28,Khavda Renewable Energy Park,7361.260396613786,42695.31,35010154.2,21347655.0,1591370.65,35010.15,21347.66,1.59
2020-02-29,Khavda Renewable Energy Park,8599.664565298812,49878.05,40900001.0,24939025.0,1859090.95,40900.0,24939.02,1.86
2020-03-01,Khavda Renewable Energy Park,10996.970922242366,63782.43,52301592.6,31891215.0,2377345.12,52301.59,31891.22,2.38
2020-03-02,Khavda Renewable Energy Park,12130.638184586614,70357.7,57693314.0,35178850.0,2622423.36,57693.31,35178.85,2.62
2020-03-03,Khavda Renewable Energy Park,12747.58561440314,73936.0,60627520.0,36968000.0,2755796.36,60627.52,36968.0,2.76
2020-03-04,Khavda Renewable Energy Park,12779.9235352377,74123.56,60781319.2,37061780.0,2762787.24,60781.32,37061.78,2.76
2020-03-05,Khavda Renewable Energy Park,9418.525916294277,54627.45,44794509.0,27313725.0,2036114.05,44794.51,27313.72,2.04
2020-03-06,Khavda Renewable Energy Park,12967.58610388141,75212.0,61673840.0,37606000.0,2803356.36,61673.84,37606.0,2.8
2020-03-07,Khavda Renewable Energy Park,12641.109679254849,73318.44,60121120.8,36659220.0,2732778.22,60121.12,36659.22,2.73
2020-03-08,Khavda Renewable Energy Park,12351.46276724524,71638.48,58743553.6,35819240.0,2670161.53,58743.55,35819.24,2.67
2020-03-09,Khavda Renewable Energy Park,6757.239941684031,39191.99,32137431.8,19595995.0,1460792.35,32137.43,19596.0,1.46
2020-03-10,Khavda Renewable Energy Park,11681.094258446838,67750.35,55555287.0,33875175.0,2525240.32,55555.29,33875.18,2.53
2020-03-11,Khavda Renewable Energy Park,12889.87356517912,74761.27,61304241.4,37380635.0,2786556.43,61304.24,37380.64,2.79
2020-03-12,Khavda Renewable Energy Park,12789.598914818209,74179.67,60827329.4,37089835.0,2764878.61,60827.33,37089.84,2.76
2020-03-13,Khavda Renewable Energy Park,12477.803995146944,72371.26,59344433.2,36185630.0,2697474.24,59344.43,36185.63,2.7
2020-03-14,Khavda Renewable Energy Park,10844.172183574465,62896.2,51574884.0,31448100.0,2344312.91,51574.88,31448.1,2.34
2020-03-15,Khavda Renewable Energy Park,1989.2138068427485,11537.44,9460700.8,5768720.0,430031.85,9460.7,5768.72,0.43
2020-03-16,Khavda Renewable Energy Park,912.6470496185974,5293.35,4340547.0,2646675.0,197297.59,4340.55,2646.68,0.2
2020-03-17,Khavda Renewable Energy Park,12937.58273032629,75037.98,61531143.6,37518990.0,2796870.16,61531.14,37518.99,2.8
2020-03-18,Khavda Renewable Energy Park,11814.361779455769,68523.3,56189106.0,34261650.0,2554050.27,56189.11,34261.65,2.55
2020-03-19,Khavda Renewable Energy Park,7603.595438854806,44100.85,36162697.0,22050425.0,1643758.95,36162.7,22050.42,1.64
2020-03-20,Khavda Renewable Energy Park,11382.806175301404,66020.28,54136629.6,33010140.0,2460755.89,54136.63,33010.14,2.46
2020-03-21,Khavda Renewable Energy Park,9062.675579785777,52563.52,43102086.4,26281760.0,1959185.75,43102.09,26281.76,1.96
2020-03-22,Khavda Renewable Energy Park,6803.988838475675,39463.14,32359774.8,19731570.0,1470898.85,32359.77,19731.57,1.47
2020-03-23,Khavda Renewable Energy Park,3639.697651641855,21110.25,17310405.0,10555125.0,786836.59,17310.4,10555.12,0.79
2020-03-24,Khavda Renewable Energy Park,4985.583935923609,28916.39,23711439.8,14458195.0,1077792.72,23711.44,14458.2,1.08
2020-03-25,Khavda Renewable Energy Park,1425.1322283319987,8265.77,6777931.4,4132885.0,308087.79,6777.93,4132.88,0.31
2020-03-26,Khavda Renewable Energy Park,251.5300347412758,1458.87,1196273.4,729435.0,54376.06,1196.27,729.44,0.05
2020-03-27,Khavda Renewable Energy Park,11213.73171741609,65039.64,53332504.8,32519820.0,2424204.76,53332.5,32519.82,2.42
2020-03-28,Khavda Renewable Energy Park,12366.17809616104,71723.83,58813540.6,35861915.0,2673342.75,58813.54,35861.92,2.67
2020-03-29,Khavda Renewable Energy Park,12882.982988219868,74721.3,61271466.0,37360650.0,2785066.64,61271.47,37360.65,2.79
2020-03-30,Khavda Renewable Energy Park,12478.855589060724,72377.36,59349435.2,36188680.0,2697701.6,59349.44,36188.68,2.7
2020-03-31,Khavda Renewable Energy Park,9927.650363891478,57580.37,47215903.4,28790185.0,2146177.43,47215.9,28790.18,2.15
2020-04-01,Khavda Renewable Energy Park,12683.402822828604,73563.74,60322266.8,36781870.0,2741921.22,60322.27,36781.87,2.74
2020-04-02,Khavda Renewable Energy Park,12744.785246045609,73919.75,60614195.0,36959875.0,2755190.68,60614.2,36959.88,2.76
2020-04-03,Khavda Renewable Energy Park,13130.662869328413,76157.84,62449428.8,38078920.0,2838610.4,62449.43,38078.92,2.84
2020-04-04,Khavda Renewable Energy Park,12661.719976995388,73437.98,60219143.6,36718990.0,2737233.8,60219.14,36718.99,2.74
2020-04-05,Khavda Renewable Energy Park,5044.344808122032,29257.2,23990904.0,14628600.0,1090495.64,23990.9,14628.6,1.09
2020-04-06,Khavda Renewable Energy Park,12893.225516516142,74780.71,61320182.2,37390355.0,2787281.01,61320.18,37390.36,2.79
2020-04-07,Khavda Renewable Energy Park,8358.007028198275,48476.44,39750680.8,24238220.0,1806849.13,39750.68,24238.22,1.81
2020-04-08,Khavda Renewable Energy Park,10147.185677520552,58853.68,48260017.6,29426840.0,2193637.16,48260.02,29426.84,2.19
2020-04-09,Khavda Renewable Energy Park,11726.94263205868,68016.27,55773341.4,34008135.0,2535151.88,55773.34,34008.14,2.54
2020-04-10,Khavda Renewable Energy Park,12427.256128654206,72078.09,59104033.8,36039045.0,2686546.99,59104.03,36039.04,2.69
2020-04-11,Khavda Renewable Energy Park,10142.529026194054,58826.67,48237869.4,29413335.0,2192630.43,48237.87,29413.34,2.19
2020-04-12,Khavda Renewable Energy Park,12450.523876332629,72213.04,59214692.8,36106520.0,2691576.95,59214.69,36106.52,2.69
2020-04-13,Khavda Renewable Energy Park,11401.881049221409,66130.91,54227346.2,33065455.0,2464879.37,54227.35,33065.46,2.46
2020-04-14,Khavda Renewable Energy Park,6877.139210033096,39887.41,32707676.2,19943705.0,1486712.55,32707.68,19943.71,1.49
2020-04-15,Khavda Renewable Energy Park,4310.079520872966,24998.46,20498737.2,12499230.0,931760.78,20498.74,12499.23,0.93
2020-04-16,Khavda Renewable Energy Park,3826.3756437063694,22192.98,18198243.6,11096490.0,827192.89,18198.24,11096.49,0.83
2020-04-17,Khavda Renewable Energy Park,9313.614217289189,54018.96,44295547.2,27009480.0,2013433.96,44295.55,27009.48,2.01
2020-04-18,Khavda Renewable Energy Park,11070.405992557107,64208.35,52650847.0,32104175.0,2393220.32,52650.85,32104.18,2.39
2020-04-19,Khavda Renewable Energy Park,2054.8546402826264,11918.16,9772891.2,5959080.0,444222.33,9772.89,5959.08,0.44
2020-04-20,Khavda Renewable Energy Park,11505.141941879569,66729.82,54718452.4,33364910.0,2487202.38,54718.45,33364.91,2.49
2020-04-21,Khavda Renewable Energy Park,9023.583103827645,52336.78,42916159.6,26168390.0,1950734.53,42916.16,26168.39,1.95
2020-04-22,Khavda Renewable Energy Park,5928.261954378813,34383.92,28194814.4,17191960.0,1281582.47,28194.81,17191.96,1.28
2020-04-23,Khavda Renewable Energy Park,11640.000576833803,67512.0,55359840.0,33756000.0,2516356.36,55359.84,33756.0,2.52
2020-04-24,Khavda Renewable Energy Park,13349.28630168595,77425.86,63489205.2,38712930.0,2885872.96,63489.21,38712.93,2.89
2020-04-25,Khavda Renewable Energy Park,13006.084252700302,75435.29,61856937.8,37717645.0,2811678.99,61856.94,37717.64,2.81
2020-04-26,Khavda Renewable Energy Park,13155.886992808531,76304.14,62569394.8,38152070.0,2844063.4,62569.39,38152.07,2.84
2020-04-27,Khavda Renewable Energy Park,13041.655335505096,75641.6,62026112.0,37820800.0,2819368.73,62026.11,37820.8,2.82
2020-04-28,Khavda Renewable Energy Park,12311.977653219674,71409.47,58555765.4,35704735.0,2661625.7,58555.77,35704.74,2.66
2020-04-29,Khavda Renewable Energy Park,12566.4499330608,72885.41,59766036.2,36442705.0,2716638.01,59766.04,36442.7,2.72
2020-04-30,Khavda Renewable Energy Park,13119.129711789494,76090.95,62394579.0,38045475.0,2836117.23,62394.58,38045.48,2.84
2020-05-01,Khavda Renewable Energy Park,13609.002753091934,78932.22,64724420.4,39466110.0,2942019.11,64724.42,39466.11,2.94
2020-05-02,Khavda Renewable Energy Park,14030.089262239171,81374.52,66727106.4,40687260.0,3033050.29,66727.11,40687.26,3.03
2020-05-03,Khavda Renewable Energy Park,14402.334721107118,83533.54,68497502.8,41766770.0,3113522.85,68497.5,41766.77,3.11
2020-05-04,Khavda Renewable Energy Park,13488.423475232275,78232.86,64150945.2,39116430.0,2915952.05,64150.95,39116.43,2.92
2020-05-05,Khavda Renewable Energy Park,13243.461650645972,76812.08,62985905.6,38406040.0,2862995.71,62985.91,38406.04,2.86
2020-05-06,Khavda Renewable Energy Park,14075.246603176232,81636.43,66941872.6,40818215.0,3042812.39,66941.87,40818.21,3.04
2020-05-07,Khavda Renewable Energy Park,12882.70675860422,74719.7,61270154.0,37359850.0,2785007.0,61270.15,37359.85,2.79
2020-05-08,Khavda Renewable Energy Park,11581.65545493036,67173.6,55082352.0,33586800.0,2503743.27,55082.35,33586.8,2.5
2020-05-09,Khavda Renewable Energy Park,11287.884098934928,65469.73,53685178.6,32734865.0,2440235.39,53685.18,32734.86,2.44
2020-05-10,Khavda Renewable Energy Park,11484.275679263174,66608.8,54619216.0,33304400.0,2482691.64,54619.22,33304.4,2.48
2020-05-11,Khavda Renewable Energy Park,8020.078617840894,46516.46,38143497.2,23258230.0,1733795.33,38143.5,23258.23,1.73
2020-05-12,Khavda Renewable Energy Park,11047.141717845216,64073.42,52540204.4,32036710.0,2388191.11,52540.2,32036.71,2.39
2020-05-13,Khavda Renewable Energy Park,11302.918028488022,65556.92,53756674.4,32778460.0,2443485.2,53756.67,32778.46,2.44
2020-05-14,Khavda Renewable Energy Park,11158.52431211437,64719.44,53069940.8,32359720.0,2412270.04,53069.94,32359.72,2.41
2020-05-15,Khavda Renewable Energy Park,13360.462057931943,77490.68,63542357.6,38745340.0,2888288.98,63542.36,38745.34,2.89
2020-05-16,Khavda Renewable Energy Park,13529.073803641357,78468.63,64344276.6,39234315.0,2924739.85,64344.28,39234.32,2.92
2020-05-17,Khavda Renewable Energy Park,14153.675718698005,82091.32,67314882.4,41045660.0,3059767.38,67314.88,41045.66,3.06
2020-05-18,Khavda Renewable Energy Park,14546.295983807611,84368.52,69182186.4,42184260.0,3144644.84,69182.19,42184.26,3.14
2020-05-19,Khavda Renewable Energy Park,14754.919109340217,85578.53,70174394.6,42789265.0,3189745.21,70174.39,42789.26,3.19
2020-05-20,Khavda Renewable Energy Park,13565.937994259471,78682.44,64519600.8,39341220.0,2932709.13,64519.6,39341.22,2.93
2020-05-21,Khavda Renewable Energy Park,12986.833236589651,75323.63,61765376.6,37661815.0,2807517.12,61765.38,37661.82,2.81
2020-05-22,Khavda Renewable Energy Park,12589.717214635702,73020.36,59876695.2,36510180.0,2721667.96,59876.7,36510.18,2.72
2020-05-23,Khavda Renewable Energy Park,13486.707849489892,78222.91,64142786.2,39111455.0,2915581.19,64142.79,39111.46,2.92
2020-05-24,Khavda Renewable Energy Park,11912.39035355925,69091.86,56655325.2,34545930.0,2575242.05,56655.33,34545.93,2.58
2020-05-25,Khavda Renewable Energy Park,13104.652276224757,76006.98,62325723.6,38003490.0,2832987.44,62325.72,38003.49,2.83
2020-05-26,Khavda Renewable Energy Park,12964.802741096904,75195.86,61660605.2,37597930.0,2802754.78,61660.61,37597.93,2.8
2020-05-27,Khavda Renewable Energy Park,13074.193190960415,75830.32,62180862.4,37915160.0,2826402.84,62180.86,37915.16,2.83
2020-05-28,Khavda Renewable Energy Park,13488.704378318724,78234.49,64152281.8,39117245.0,2916012.81,64152.28,39117.25,2.92
2020-05-29,Khavda Renewable Energy Park,11039.871193637802,64031.25,52505625.0,32015625.0,2386619.32,52505.62,32015.62,2.39
2020-05-30,Khavda Renewable Energy Park,9767.501831002328,56651.51,46454238.2,28325755.0,2111556.28,46454.24,28325.76,2.11
2020-05-31,Khavda Renewable Energy Park,6468.62662221295,37518.03,30764784.6,18759015.0,1398399.3,30764.78,18759.02,1.4
2020-06-01,Khavda Renewable Energy Park,9917.55011221872,57521.79,47167867.8,28760895.0,2143993.99,47167.87,28760.9,2.14
2020-06-02,Khavda Renewable Energy Park,11655.63833995408,67602.7,55434214.0,33801350.0,2519737.0,55434.21,33801.35,2.52
2020-06-03,Khavda Renewable Energy Park,13370.801144567791,77550.65,63591533.0,38775325.0,2890524.23,63591.53,38775.32,2.89
2020-06-04,Khavda Renewable Energy Park,13113.449268923954,76058.01,62367568.2,38029005.0,2834889.46,62367.57,38029.0,2.83
2020-06-05,Khavda Renewable Energy Park,13397.022539777672,77702.73,63716238.6,38851365.0,2896192.66,63716.24,38851.36,2.9
2020-06-06,Khavda Renewable Energy Park,11546.970241873974,66972.43,54917392.6,33486215.0,2496245.12,54917.39,33486.21,2.5
2020-06-07,Khavda Renewable Energy Park,11087.467605349386,64307.31,52731994.2,32153655.0,2396908.83,52731.99,32153.66,2.4
2020-06-08,Khavda Renewable Energy Park,11274.107309652129,65389.82,53619652.4,32694910.0,2437256.93,53619.65,32694.91,2.44
2020-06-09,Khavda Renewable Energy Park,8754.96451930507,50778.79,41638607.8,25389395.0,1892663.99,41638.61,25389.4,1.89
2020-06-10,Khavda Renewable Energy Park,10220.327133770836,59277.9,48607878.0,29638950.0,2209449.0,48607.88,29638.95,2.21
2020-06-11,Khavda Renewable Energy Park,8788.927915597069,50975.78,41800139.6,25487890.0,1900006.35,41800.14,25487.89,1.9
2020-06-12,Khavda Renewable Energy Park,4995.355687762373,28973.06,23757909.2,14486530.0,1079904.96,23757.91,14486.53,1.08
2020-06-13,Khavda Renewable Energy Park,6745.991900355435,39126.75,32083935.0,19563375.0,1458360.68,32083.94,19563.38,1.46
2020-06-14,Khavda Renewable Energy Park,3722.826113485104,21592.39,17705759.8,10796195.0,804807.26,17705.76,10796.2,0.8
2020-06-15,Khavda Renewable Energy Park,5089.115255408534,29516.87,24203833.4,14758435.0,1100174.25,24203.83,14758.44,1.1
2020-06-16,Khavda Renewable Energy Park,7819.265373419982,45351.74,37188426.8,22675870.0,1690383.04,37188.43,22675.87,1.69
2020-06-17,Khavda Renewable Energy Park,6524.220178755392,37840.48,31029193.6,18920240.0,1410417.89,31029.19,18920.24,1.41
2020-06-18,Khavda Renewable Energy Park,12810.892620897015,74303.18,60928607.6,37151590.0,2769482.16,60928.61,37151.59,2.77
2020-06-19,Khavda Renewable Energy Park,6757.971512565942,39196.23,32140908.6,19598115.0,1460950.39,32140.91,19598.12,1.46
2020-06-20,Khavda Renewable Energy Park,5184.200496175027,30068.36,24656055.2,15034180.0,1120729.78,24656.06,15034.18,1.12
2020-06-21,Khavda Renewable Energy Park,4358.6282314761775,25280.04,20729632.8,12640020.0,942256.04,20729.63,12640.02,0.94
2020-06-22,Khavda Renewable Energy Park,4475.104124793931,25955.6,21283592.0,12977800.0,967436.0,21283.59,12977.8,0.97
2020-06-23,Khavda Renewable Energy Park,8119.155440827057,47091.1,38614702.0,23545550.0,1755213.73,38614.7,23545.55,1.76
2020-06-24,Khavda Renewable Energy Park,4551.206139249272,26397.0,21645540.0,13198500.0,983888.18,21645.54,13198.5,0.98
2020-06-25,Khavda Renewable Energy Park,1627.8285701951722,9441.41,7741956.2,4720705.0,351907.1,7741.96,4720.7,0.35
2020-06-26,Khavda Renewable Energy Park,4332.132530153555,25126.37,20603623.4,12563185.0,936528.34,20603.62,12563.18,0.94
2020-06-27,Khavda Renewable Energy Park,6320.094377577577,36656.55,30058371.0,18328275.0,1366289.59,30058.37,18328.28,1.37
2020-06-28,Khavda Renewable Energy Park,7707.729892371307,44704.83,36657960.6,22352415.0,1666270.94,36657.96,22352.42,1.67
2020-06-29,Khavda Renewable Energy Park,8526.216368444087,49452.05,40550681.0,24726025.0,1843212.77,40550.68,24726.02,1.84
2020-06-30,Khavda Renewable Energy Park,5001.487694007831,29008.63,23787076.6,14504315.0,1081230.75,23787.08,14504.32,1.08
2020-07-01,Khavda Renewable Energy Park,10868.667905347662,63038.27,51691381.4,31519135.0,2349608.25,51691.38,31519.14,2.35
2020-07-02,Khavda Renewable Energy Park,8404.130760269842,48743.96,39970047.2,24371980.0,1816820.33,39970.05,24371.98,1.82
2020-07-03,Khavda Renewable Energy Park,10284.309361824444,59648.99,48912171.8,29824495.0,2223280.54,48912.17,29824.5,2.22
2020-07-04,Khavda Renewable Energy Park,2406.9701690754287,13960.43,11447552.6,6980215.0,520343.3,11447.55,6980.22,0.52
2020-07-05,Khavda Renewable Energy Park,1113.7427302888634,6459.71,5296962.2,3229855.0,240771.01,5296.96,3229.86,0.24
2020-07-06,Khavda Renewable Energy Park,9.298878073078576,53.93,44222.6,26965.0,2010.12,44.22,26.96,0.0
2020-07-07,Khavda Renewable Energy Park,0.9232642815560308,5.35,4387.0,2675.0,199.41,4.39,2.68,0.0
2020-07-08,Khavda Renewable Energy Park,206.61600500229912,1198.37,982663.4,599185.0,44666.52,982.66,599.18,0.04
2020-07-09,Khavda Renewable Energy Park,5161.526557268956,29936.85,24548217.0,14968425.0,1115828.05,24548.22,14968.42,1.12
2020-07-10,Khavda Renewable Energy Park,2573.5907644165864,14926.83,12240000.6,7463415.0,556363.66,12240.0,7463.42,0.56
2020-07-11,Khavda Renewable Energy Park,4498.800203517117,26093.04,21396292.8,13046520.0,972558.76,21396.29,13046.52,0.97
2020-07-12,Khavda Renewable Energy Park,4364.727034679374,25315.42,20758644.4,12657710.0,943574.75,20758.64,12657.71,0.94
2020-07-13,Khavda Renewable Energy Park,6426.104946969818,37271.41,30562556.2,18635705.0,1389207.1,30562.56,18635.71,1.39
2020-07-14,Khavda Renewable Energy Park,5002.666008712675,29015.46,23792677.2,14507730.0,1081485.33,23792.68,14507.73,1.08
2020-07-15,Khavda Renewable Energy Park,1985.084890781461,11513.49,9441061.8,5756745.0,429139.17,9441.06,5756.74,0.43
2020-07-16,Khavda Renewable Energy Park,359.0308573851753,2082.38,1707551.6,1041190.0,77615.98,1707.55,1041.19,0.08
2020-07-17,Khavda Renewable Energy Park,2467.6364624946905,14312.29,11736077.8,7156145.0,533458.08,11736.08,7156.14,0.53
2020-07-18,Khavda Renewable Energy Park,9453.498959186783,54830.29,44960837.8,27415145.0,2043674.45,44960.84,27415.14,2.04
2020-07-19,Khavda Renewable Energy Park,3562.13588382172,20660.39,16941519.8,10330195.0,770069.08,16941.52,10330.2,0.77
2020-07-20,Khavda Renewable Energy Park,5067.170200618369,29389.59,24099463.8,14694795.0,1095430.17,24099.46,14694.8,1.1
2020-07-21,Khavda Renewable Energy Park,4567.590433366064,26492.02,21723456.4,13246010.0,987429.84,21723.46,13246.01,0.99
2020-07-22,Khavda Renewable Energy Park,6582.440818768079,38178.16,31306091.2,19089080.0,1423004.15,31306.09,19089.08,1.42
2020-07-23,Khavda Renewable Energy Park,7926.670118427768,45974.69,37699245.8,22987345.0,1713602.08,37699.25,22987.34,1.71
2020-07-24,Khavda Renewable Energy Park,8945.356723089595,51883.07,42544117.4,25941535.0,1933823.52,42544.12,25941.54,1.93
2020-07-25,Khavda Renewable Energy Park,2893.409626690444,16781.78,13761059.6,8390890.0,625502.71,13761.06,8390.89,0.63
2020-07-26,Khavda Renewable Energy Park,2365.7433577182837,13721.31,11251474.2,6860655.0,511430.65,11251.47,6860.66,0.51
2020-07-27,Khavda Renewable Energy Park,8365.41920429786,48519.43,39785932.6,24259715.0,1808451.48,39785.93,24259.72,1.81
2020-07-28,Khavda Renewable Energy Park,7620.378099774486,44198.19,36242515.8,22099095.0,1647387.08,36242.52,22099.1,1.65
